iso3,gis_name,name_fr,name_sp,color_code,terr_id,terr_name,secondary_territory,status_un,lon,lat
ABW,Aruba (K. of the Netherlands),Aruba (R. des Pays-Bas),Aruba (R. de los Países Bajos),NLD,12,Aruba,1,NL Self-Governing Territory,-69.9695,12.5079
AFG,Afghanistan,Afghanistan,Afganistán,AFG,1,Afghanistan,0,Member State,66.0664,33.9098
AGO,Angola,Angola,Angola,AGO,6,Angola,0,Member State,17.5799,-12.3934
AIA,Anguilla (GBR),null,null,GBR,7,Anguilla,1,UK Non-Self-Governing Territory,-63.0596,18.2214
ALB,Albania,Albanie,Albania,ALB,2,Albania,0,Member State,20.0653,41.1519
AND,Andorra,Andorre,Andorra,AND,5,Andorra,0,Member State,1.5762,42.5507
ARE,United Arab Emirates,Émirats arabes unis,Ermiratos Árabes Unidos,ARE,254,United Arab Emirates,0,Member State,53.9828,23.4323
ARG,Argentina,Argentine,Argentina,ARG,10,Argentina,0,Member State,-63.9473,-33.275
ARM,Armenia,Arménie,Armenia,ARM,11,Armenia,0,Member State,44.9326,40.3024
ASM,American Samoa (USA),null,null,USA,4,American Samoa,1,US Non-Self-Governing Territory,-170.7187,-14.3059
ATA,Antarctica,Antarctique,Antártida,ATA,8,Antarctica,1, ,9.1535,-85.9072
ATF,French Southern and Antarctic Territories (FRA),Terres Australes et Antarctiques Françaises (FRA),Francés Tierras Australes y Antárticas (FRA),FRA,85,French Southern and Antarctic Territories,1,FR Territory,69.4955,-49.3186
ATG,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,ATG,9,Antigua and Barbuda,0,Member State,-61.8,17.0776
AUS,Australia,Australie,Australia,AUS,14,Australia,0,Member State,134.4374,-26.0261
AUT,Austria,Autriche,Austria,AUT,15,Austria,0,Member State,14.1481,47.5987
AZE,Azerbaijan,Azerbaïdjan,Azerbaiyán,AZE,16,Azerbaijan,0,Member State,47.6554,40.3664
BDI,Burundi,Burundi,Burundi,BDI,41,Burundi,0,Member State,29.8904,-3.3669
BEL,Belgium,Belgique,Bélgica,BEL,25,Belgium,0,Member State,4.6573,50.6478
BEN,Benin,Bénin,Benin,BEN,27,Benin,0,Member State,2.3404,9.6605
BES,Bonaire (NLD),Bonaire (NLD),Bonaire (NLD),NLD,null,Bonaire  Sint Eustatius and Saba,1,NL Territory,-67.6592,11.9759
BFA,Burkina Faso,Burkina Faso,Burkina Faso,BFA,40,Burkina Faso,0,Member State,-1.7431,12.2825
BGD,Bangladesh,Bangladesh,Bangladesh,BGD,21,Bangladesh,0,Member State,89.1914,22.8701
BGR,Bulgaria,Bulgarie,Bulgaria,BGR,39,Bulgaria,0,Member State,25.2421,42.7774
BHR,Bahrain,Bahreïn,Bahrein,BHR,19,Bahrain,0,Member State,50.5491,26.0442
BHS,Bahamas,Bahamas,Bahamas,BHS,18,Bahamas,0,Member State,-78.0511,24.696
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,BIH,32,Bosnia and Herzegovina,0,Member State,17.7813,44.181
BLM,null,null,null,FRA,97,Saint Barthélemy,1,FR Territory,-62.8344,17.8998
BLR,Belarus,Bélarus,Belarús,BLR,24,Belarus,0,Member State,28.0638,53.5894
BLZ,Belize,Belize,Belice,BLZ,26,Belize,0,Member State,-88.6993,17.2006
BMU,Bermuda (GBR),Bermudes (GBR),Bermudas (GBR),GBR,28,Bermuda,1,UK Non-Self-Governing Territory,-64.7855,32.2798
BOL,Plurinational State of Bolivia,État Plurinational de Bolivie,Estado Plurinacional de Bolivia,BOL,31,Bolivia,0,Member State,-64.659,-16.7774
BRA,Brazil,Brésil,Brasil,BRA,35,Brazil,0,Member State,-53.0225,-11.175
BRB,Barbados,Barbade,Barbados,BRB,22,Barbados,0,Member State,-59.5346,13.1365
